,industry,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
12,Biotechnology,14.011410447761197,0.0,0.07708499986616667,0.08345,0.03325447671641791,-110.72416708104477,-0.21196462507462682,-0.30068517858928573,-0.8745042564259258,78.8160357142857,6.766144458600001,0.1459201501791045,-4.8685322580645165,0.5058607443134326,5.551724137931035,28.766206896551722
13,Broadcasting,16.59723333333333,0.0,0.16285,0.088599995,0.4153366666666667,-0.4870700133333334,-0.5289533466666666,-0.12351333666666665,-0.4071000066666666,39.459,2.652813566666667,0.1751633433333333,-10.686,0.33020333666666674,9.0,28.21
14,Building Products & Equipment,12.3726,0.6364,0.0128,0.036,0.27936,0.06389,0.03191,0.03135,0.03847,29.838,0.8512866,0.47320998,0.0,0.46756,2.0,18.0
15,Capital Markets,4.5,0.0,0.033,0.0,1.0,-336.65295,0.0,-0.98542,-4.5735903,2.895,0.0,0.10356,-0.868,0.11846,3.0,14.14
16,Communication Equipment,21.144166666666667,0.14438333333333334,0.0225999999,0.021400000500000002,0.4692216633333333,0.05154999999999999,0.03998666568333333,0.02658833366666666,0.04614500333333333,138.58416666666665,10.36568485,0.10510333499166667,3.846799999999999,0.5886683276666668,9.2,28.558
17,Computer Hardware,10.089666666666666,0.07576666333333333,0.1990333333333333,0.0,0.12715666666666667,-0.42704663466666665,-0.5111433,-0.012076666666666671,-0.055166661000000006,20.865333333333332,2.6406427,0.09450000333333335,-2.938333333333334,0.48391663999999995,9.0,31.0
18,Consulting Services,124.09,0.4093,0.0224,0.0067000003,0.35048,0.2463,0.23995,0.11229999,0.27443,4.028,17.127674,0.011720001,53.375,0.92583,2.0,115.0
19,Credit Services,38.47,0.2077,0.088749999,0.0167,0.55609,0.0741750025,-0.007870000000000002,0.031085,-0.0032099999999999976,64.764,1.4476786499999998,0.035110001,12.494499999999999,0.95810505,4.0,46.21
20,Diagnostics & Research,163.06599999999997,0.0,0.07736000039999999,0.0,0.570951994,-1.938653996,-0.116412008,-0.1496579992,-0.251908008,40.18975,11.156869740000001,0.06236799606,6.6556000000000015,0.791035994,11.4,169.69199999999998
21,Discount Stores,134.25,0.0,0.041300002,0.0,0.30762,0.08407,0.05781,0.06586,0.2155,138.009,4.1988554,0.01345,11.801,0.939,22.0,108.05
22,Drug Manufacturers—General,2.28745,0.0,0.0,0.0,0.845535025,-3.94301485,-1.42745,0.0,0.0,0.0,0.0,0.07373,-2.802,0.82701,5.0,13.4
23,Drug Manufacturers—Specialty & Generic,11.482274999999998,0.0,0.0882,0.0,0.11903499125000004,-3.3639525374999995,-0.8819700125000001,-0.228986250125,-1.6386713714285714,69.80757142857144,9.217280716666666,0.141987502375,20.55785714285714,0.465585000375,4.428571428571429,16.427142857142858
24,Education & Training Services,2.555,0.0,0.01595,0.0,0.613645,0.225655,0.11576499500000001,0.08144000500000001,0.120119998,1.871,0.0,0.61298,11.7835,0.00493,1.0,10.0
25,Electrical Equipment & Parts,10.055,0.0,0.14679999999999999,0.0,-0.116409995,-25.175495025,-0.76725995,-0.28147501,-0.41443002,109.4705,9.8316705,0.06757000099999999,-33.164,0.50538001,5.5,14.82
26,Electronic Components,4.816666666666666,0.11763333333333333,0.005666666496666667,0.036,0.32872333000000004,0.03376666833333333,0.037936670000000006,0.020303333666666666,0.06726000166666667,43.8075,1.6189838333333333,0.5018433346666666,604.0813333333334,0.15097334,1.0,7.875
27,Electronic Gaming & Multimedia,52.70666666666667,0.07296666666666667,0.0172,0.005,0.5302266833333333,0.04517000333333332,-0.014706666666666665,0.007886666666666667,-0.021219998333333333,13.667666666666667,4.974463,0.07478333333333333,6.639666666666668,0.36340666666666666,30.0,171.57
28,Engineering & Construction,2.3499999999999996,0.0,0.03295,0.0,0.131525008,-0.252475,-0.201485005,-0.14806,-0.343905,61.1445,4.406439,0.259505,-6.292,0.573995,0.0,0.0
29,Entertainment,23.237516666666668,0.0,0.07158333166666667,0.0,0.5947516733333333,-0.10554332100000001,-0.16311001666666666,0.0047216655,0.0008883299999999974,91.2,1.87069784,0.23242666666666667,-19.528666666666666,0.5473749866666667,9.5,39.6225
30,Footwear & Accessories,174.76,0.0,0.1331,0.0,0.59733003,0.29147,0.3527,0.30586,2.59693,251.984,30.461912,0.025810001,16.472,0.96914,8.0,193.88
31,"Furnishings, Fixtures & Appliances",5.0877,0.21620001,0.0388,0.041500002,0.291535005,-0.10598999999999999,-0.179495003,-0.08332999999999999,-0.6914250049999999,69.234,2.22082475,0.112439998,1.7555,0.232670011,1.0,8.5
32,Gambling,24.25,0.0,0.056933333333333336,0.0,0.4205166666666667,-18.669703335333335,-0.53377667,-0.1836149975,-0.6513599999999999,4.335333333333333,0.0,0.31442665,-26.0365,0.19663333366666666,13.0,39.53
33,Grocery Stores,13.69,0.0,0.0481,0.0097,0.28725,0.01957,-0.0382,0.0,0.0,89.731,0.0,0.47737,30.091,0.1604,9.0,20.89
34,Health Information Services,18.93,0.0,0.045900002,0.0,0.18622999,-0.00262,-0.01202,-0.0021600001,-0.03548,79.279,1.735901,0.00417,22.747,0.9735,5.0,27.0
35,Household & Personal Products,15.76,0.0,0.0196,0.0,0.46089,-0.051015,-0.18881999,-0.0378,-0.1263,98.5235,2.0852642,0.002835,-8.889,0.38012999999999997,0.0,0.0
36,Industrial Distribution,47.115,0.353349985,0.0349,0.0201,0.36254501,0.110115,0.061899999000000004,0.093804995,0.112334995,65.962,7.2003958,0.0408150025,24.066000000000003,0.768545005,5.5,46.8
37,Information Technology Services,44.96,0.0330999975,0.0503874975,0.0117999995,0.42001889444444446,-0.11112667777777777,-0.1754244448888889,-0.016858749750000002,-0.04425750025,100.58377777777777,34.03151506249999,0.14498222155555554,143.33900000000006,0.6636555555555556,11.333333333333334,68.23166666666667
38,Insurance Brokers,113.22500000000001,0.41832501,0.051666665,0.033149998,0.423207515,0.10961250300000001,0.09559749875,0.0768875,0.18974500575,11.30575,6.525030735,0.2471375,21.9935,0.535312505,5.5,46.415
39,Insurance—Diversified,63.71400000000001,0.0,0.0222499995,0.067399999,0.5099400000000001,2.1308479759999996,0.464406,-0.01864,0.153429996,20.01,0.31282858333333335,0.028947497500000002,-0.98,0.560195,0.0,0.0
40,Insurance—Property & Casualty,13.625,0.30215000000000003,0.00495,0.040300001,0.09601,0.09458,0.07538,0.022219999,0.120579995,7.558,0.7879365949999999,0.041390000999999996,4.6615,0.860845,2.0,18.5
41,Integrated Freight & Logistics,100.265,0.1034,0.0656499975,0.0093,0.28995001,-0.013305002500000003,-0.09486499999999999,0.07120999900000001,0.133965,17.909,6.33820165,0.010905,-780.0,0.959275,11.0,97.35499999999999
42,Internet Content & Information,89.955,0.0,0.0427333325,0.0,0.530784999,-1.9631449995,0.07636999575,-0.5394124975,-2.8352900025000003,42.922250000000005,18.107331566666666,0.08812749750000001,-7.22325,0.47983999,21.0,155.59
43,Internet Retail,100.4025,0.0518249975,0.06233333333333333,0.0095999995,0.596755,0.0064424965000000126,0.22418749500000001,-0.00208333799999999,0.2606933333333333,172.726,33.66029,0.060917502425,4.086500000000001,0.7574200099999999,15.5,89.475
44,Leisure,19.57,0.2745,0.0196,0.026700001,0.26911,0.12047,0.092530005,0.116610005,0.20771,35.886,1.9205104,0.37021,7.855,0.28982002,0.0,0.0
45,Luxury Goods,3.25,0.0,0.0063,0.0,0.48718,0.1415,0.30688998,0.06414,0.25663,7.066,1.7287234,0.15145001,13.775,0.32193002,1.0,4.0
46,Marine Shipping,21.495,0.0,0.05815000024999999,0.0,0.47762500249999995,0.20450499899999997,0.096800001,0.040502500250000004,0.065115,107.86675,2.3504232275,0.28475999225000004,13.12725,0.25896251000000003,4.666666666666667,45.4
47,Medical Care Facilities,82.01,0.0619,0.0602,0.0026,0.18038,0.09781,0.074990004,0.059369996,0.22343001,131.672,5.089048,0.05271,17.842,0.91096,5.0,96.8
48,Medical Devices,15.47243076923077,0.0,0.055883333608333335,0.0,0.5492446184615385,-1.8015746155384613,-0.1135053822923077,-0.22032778355555555,-0.620184441111111,55.34108333333333,6.1995086,0.1357269226923077,4.075846153846154,0.525163076923077,4.090909090909091,34.27272727272727
49,Medical Instruments & Supplies,4.300000000000001,0.0,0.01115,0.0,0.655929985,-3.414685,-0.34874,-0.19443001,-0.32279998,5.542,1.0778259,0.332304999,-5.0015,0.11048,1.5,16.25
50,Mortgage Finance,59.38,0.0,0.18450001,0.0,1.0,0.38279,0.17358999,0.08283,0.23688,221.713,1.5286394,0.01839,6.355,1.1827999,3.0,55.0
51,Oil & Gas E&P,43.74666666666666,0.49,0.007000000333333333,0.0448,0.8061466666666667,0.27730000006666666,-0.20614666666666667,0.09231666666666667,0.04715001,33.816,3.6762500999999994,0.04533333333333334,13.716333333333333,0.5925566466666666,17.5,59.459999999999994
52,Oil & Gas Equipment & Services,2.32,0.0,0.0022,0.0,-0.16774,-1.05598,-1.01255,-0.187,-0.32753,7.641,0.633015,0.13057,-1.215,0.6206,0.0,0.0
53,Packaged Foods,11.39474,0.56098,0.036459999,0.0273,0.253651999,0.020039999940000004,0.10837000193999997,0.0159279996,0.8447879599999999,50.749199999999995,1.3634470950000002,0.22020400599999998,13.4732,0.29590400419999996,2.5,34.75
54,Packaging & Containers,9.15,0.0,0.0116,0.0,0.41446,0.23211001,0.11739001,0.12828,0.17025,23.299,0.13117526,0.65449995,-0.668,0.081999995,0.0,0.0
55,Personal Services,7.955,0.0,0.0458,0.0,0.630765,0.050904995,0.004580000000000001,0.0,0.0,323.182,0.0,0.0201549995,13.3995,0.5020249995,6.5,15.845
56,Pollution & Treatment Controls,23.39,0.0,0.0535,0.0,0.76225996,0.32554,0.2582,0.12672,0.20106001,9.393,7.2080126,0.27301002,23.708,0.56305003,2.0,24.5
57,Publishing,131.17,0.1439,0.014000000333333333,0.0655000025,0.3084733366666667,0.03824333266666667,0.7898767333333333,0.024346667166666665,0.30889000000000005,48.225666666666676,2.1630513000000002,0.14299,10.022666666666668,0.4012099966666667,0.0,0.0
58,REIT—Healthcare Facilities,12.09,1.3397,0.040500002,0.030899999999999997,0.593980015,0.29552000015,0.12466499999999998,0.0224350015,-0.0009550000000000045,122.654,2.1933045,0.0162799995,16.539,0.85229498,7.5,14.75
59,REIT—Specialty,792.84,2.9259,0.020399999,0.0147,0.48035,0.17503999,0.054330003,0.02475,0.03255,142.492,6.714488,0.00348,31.395,0.97344,24.0,895.58
60,Railroads,36.355,0.23040001,0.0112,0.010299999,0.54723,0.42918998,0.3026,0.080369994,0.27854002,128.113,6.1255264,0.00125,14.522,0.76478,25.0,37.84
61,Real Estate Services,40.54,0.0,0.033249999,0.0036000002,0.3531433333333333,0.04083333299999999,0.024473333333333337,0.03381,0.14173666566666665,16.352666666666668,23.554303,0.21660333333333334,65.244,0.39475,5.0,60.38999999999999
62,Recreational Vehicles,45.66,0.01765,0.028499998,0.0045,0.20357,0.09113999974999999,0.07043,0.09433000000000001,0.03284,1.294,0.0,0.2831800145,14.764,0.38954500000000003,0.0,0.0
63,Residential Construction,157.65,0.0,0.053399997000000005,0.0,0.18305,0.085125,0.06935000050000001,0.0841,0.1595,58.833,3.7254655,0.462925,22.761,0.5863849999999999,2.5,183.085
64,Resorts & Casinos,96.09,0.0,0.0602,0.0,0.53436,0.13324,-0.25601,0.026519999,-0.53109,510.267,4.332672,0.044109996,24.512,0.94785005,11.0,126.91
65,Restaurants,16.1325,0.0,0.02277499976,0.0554,0.57996,0.07709750125,-0.26485248499999997,0.03507,0.0,0.0,0.0,0.36121251025,63.1545,0.249390001,4.5,20.965
66,Scientific & Technical Instruments,34.765,0.0,0.025,0.0,0.42528251,-0.37770497500000005,-0.30733750075,-0.0502324995,-0.07503,16.741,24.206551175,0.245645,-121.34850000000002,0.4435099984925,3.0,70.83500000000001
67,Security & Protection Services,3.0533333333333332,0.0,0.13939999,0.0,0.2961766666666667,-1.9927866666666667,0.67232,-0.11461,0.90641,1.896,1.2935323,0.16981,-17.1905,0.238034985,4.0,13.5
68,Semiconductor Equipment & Materials,153.82,0.129,0.0135,0.0026,0.45988,0.22822,0.16294001,0.10466,0.24707001,65.95,14.559396,0.00805,28.027,0.98415,10.0,133.2
69,Semiconductors,54.81375,0.0,0.03982500025,0.0,0.44314250749999995,0.09426500125000001,0.0915424995,0.04922750075,0.11740500000000001,17.809250000000002,3.44882855,0.047277500099999994,152.88525,0.8838324875,6.75,60.75
70,Shell Companies,11.5665338028169,0.0,0.0017166666555555555,0.0,0.0,0.0,0.0,-0.00527,0.0,873.8065384615384,30.417592,0.015979999972521735,0.0,0.4499475368856523,0.0,0.0
71,Software—Application,67.43854999999999,0.043262499687500004,0.05843571421428571,0.014350000000000002,0.6028062506250002,-0.873848192375,-0.0671718768125,-0.1744759935333333,-0.41312785449999995,114.62726666666669,27.63081266363637,0.196873125625,-242.26246666666665,0.6376012500625001,9.0,109.07909090909092
72,Software—Infrastructure,84.750375,0.05995000166666667,0.04834166633333333,0.0189,0.6263983316666667,-2.3159750035,-0.06789166616666666,-0.058788181854545464,-0.3608672706363636,401.5395454545455,12.56786681111111,0.11507333674666669,-94.48725000000002,0.78649,11.0,119.64500000000002
73,Solar,146.95499999999998,0.0,0.08280000000000001,0.0,0.30118001,0.132624999,0.06349,0.04618,0.11223,124.28899999999999,24.28118465,0.146354999,82.0725,0.620615005,15.5,120.99
74,Specialty Business Services,119.94375000000001,0.140975,0.008074999999999999,0.0085,0.381555,0.1338700005,0.07115000075,0.11102666666666666,0.22488666666666668,71.77525,8.593638,0.268277495,15.902499999999998,0.559262499975,6.0,154.59
75,Specialty Industrial Machinery,70.965,0.090200005,0.0073,0.0043,0.25588500000000003,-0.12802500499999997,-0.27788,-0.0001299950000000008,-0.103965,40.0075,3.1662248,0.11580000500000001,7.1655,0.477635005,2.0,147.5
76,Specialty Retail,70.55125,0.0,0.05213333466666667,0.0,0.07660498499999999,-0.911754976,0.0372025,0.03625667,0.20562333333333335,141.77925000000002,8.7592772,0.11078749975,4.3665,0.6219699875,11.333333333333334,102.94666666666667
77,Telecom Services,5.35,0.0,0.0107,0.0,0.66782,-0.0321,0.29725,-0.00837,0.15704,4.613,3.6947515,0.56089,-1390.091,0.06758,2.0,9.13
78,Textile Manufacturing,6.62,0.0,0.0139,0.0,0.2474,0.02893,0.00509,0.02767,0.03033,151.378,1.564642,0.11545999,8.184,0.49607,0.0,0.0
79,Tools & Accessories,24.57,0.33080003,0.043,0.0139,0.22668,0.07595,0.03365,0.04196,0.07738,90.709,1.3875867,0.15109,10.243,0.66733,0.0,0.0
80,Travel Services,176.58,0.0,0.1091,0.0,0.67847,-0.35741,-0.44594002,-0.04476,-0.51322,239.973,16.791555,0.04745,-25.244,0.99367,26.0,180.5
81,Trucking,19.53,0.0,0.0360999985,0.0,0.25606,0.054970001500000004,0.02574,0.044439998,0.35054,241.292,10.127077,0.31398499999999996,6.1505,0.48602,3.5,21.0
82,Utilities—Diversified,53.54,1.3784,0.0128,0.0323,0.27207002,0.104940005,0.03195,0.0176,0.03813,122.54,1.6341605,0.00273,10.304,0.81211996,16.0,52.55
83,Utilities—Regulated Water,11.27,0.7907,0.014199999,0.0269,0.35438,0.08623,0.02625,0.020350002,0.04241,1.9,1.0608058,0.050029997,12.159,0.56187,2.0,15.5
84,Waste Management,61.455,0.0,0.020849999,0.0,0.296430015,0.06675,0.010235003999999999,0.0277499985,0.110290005,149.2815,6.9386072500000004,0.01558000025,20.127,0.97902505,5.0,60.415
